normalized_player,bet_type,player,BetMGM_Odds,BetRivers_Odds,Betonlineag_Odds,Bovada_Odds,DraftKings_Odds,FanDuel_Odds,Fanatics_Odds,Mybookieag_Odds,WilliamhillUs_Odds,value,value_book,value_odds,value_flag,GPT Value
Andrew Vaughn,To Hit 1+ HR,Andrew Vaughn,725,550,500,525,525,500,580,460,575,1.376,BetMGM_Odds,725,TRUE,
Andy Pages,To Hit 1+ HR,Andy Pages,700,600,700,630,730,680,740,640,700,1.1004,Fanatics_Odds,740,TRUE,
Brice Turang,To Hit 1+ HR,Brice Turang,900,800,900,875,900,800,780,820,850,1.0706,DraftKings_Odds,900,FALSE,
Caleb Durbin,To Hit 1+ HR,Caleb Durbin,1100,1150,900,1000,1040,1060,1100,820,1100,1.133,BetRivers_Odds,1150,TRUE,
Christian Yelich,To Hit 1+ HR,Christian Yelich,700,750,600,675,660,700,700,550,700,1.1353,BetRivers_Odds,750,TRUE,
Enrique Hernandez,To Hit 1+ HR,Enrique Hernandez,800,750,700,800,790,830,900,,750,1.1624,Fanatics_Odds,900,TRUE,
Freddie Freeman,To Hit 1+ HR,Freddie Freeman,550,540,500,600,537,560,490,460,525,1.1533,Bovada_Odds,600,TRUE,
Jackson Chourio,To Hit 1+ HR,Jackson Chourio,475,440,450,480,470,460,460,410,475,1.0549,Bovada_Odds,480,FALSE,
Jake Bauers,To Hit 1+ HR,Jake Bauers,825,650,600,575,573,600,700,550,625,1.3544,BetMGM_Odds,825,TRUE,
Joey Ortiz,To Hit 1+ HR,Joey Ortiz,1400,1050,900,1100,1200,1100,1300,820,1300,1.2771,BetMGM_Odds,1400,TRUE,
Max Muncy,To Hit 1+ HR,Max Muncy,400,420,450,525,539,480,410,410,475,1.2078,DraftKings_Odds,539,TRUE,
Mookie Betts,To Hit 1+ HR,Mookie Betts,575,430,500,560,594,520,580,460,525,1.1451,DraftKings_Odds,594,TRUE,
Sal Frelick,To Hit 1+ HR,Sal Frelick,1000,900,900,1100,1100,1060,1200,820,1100,1.203,Fanatics_Odds,1200,TRUE,
Shohei Ohtani,To Hit 1+ HR,Shohei Ohtani,250,245,225,250,250,255,265,204,235,1.1076,Fanatics_Odds,265,TRUE,
Teoscar Hernandez,To Hit 1+ HR,Teoscar Hernandez,500,440,500,480,549,480,510,460,525,1.1276,DraftKings_Odds,549,TRUE,
Tommy Edman,To Hit 1+ HR,Tommy Edman,800,900,700,900,810,870,780,640,850,1.1339,BetRivers_Odds,900,TRUE,
Will Smith,To Hit 1+ HR,Will Smith,475,475,500,600,563,560,510,460,525,1.1799,Bovada_Odds,600,TRUE,
William Contreras,To Hit 1+ HR,William Contreras,600,550,500,550,570,540,530,460,575,1.1228,BetMGM_Odds,600,TRUE,
